epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0442,1.70814,1.69167,1.42103,0.53322,0.51771,0.50926,0.23225,1.63156,1.47026,1.27365,0.000411706,0.000411706,0.000411706
2,144.124,1.55756,1.17968,1.36539,0.765,0.38073,0.44143,0.19462,1.7468,1.62145,1.41476,0.000818122,0.000818122,0.000818122
3,205.701,1.60389,1.21191,1.40415,0.63908,0.45222,0.44988,0.13597,2.21804,1.88067,1.66466,0.00121422,0.00121422,0.00121422
4,269.241,1.57485,1.17775,1.39233,0.6042,0.58223,0.57687,0.21631,1.92158,1.8579,1.46409,0.00120359,0.00120359,0.00120359
5,331.968,1.5254,1.11087,1.38289,0.53754,0.61337,0.58733,0.26673,1.66782,1.63504,1.36469,0.00118812,0.00118812,0.00118812
6,400.148,1.5019,1.07399,1.37448,0.75717,0.63904,0.69225,0.27436,1.87701,1.11655,1.53797,0.00117266,0.00117266,0.00117266
7,467.266,1.49875,1.03028,1.37545,0.78187,0.66222,0.72518,0.35919,1.50404,0.99192,1.25283,0.00115719,0.00115719,0.00115719
8,529.881,1.44845,1.00388,1.34356,0.72579,0.68234,0.73263,0.2608,2.04754,1.13059,1.45782,0.00114172,0.00114172,0.00114172
9,593.031,1.45617,0.99582,1.34228,0.79684,0.68816,0.73613,0.30069,1.82887,1.08591,1.39367,0.00112625,0.00112625,0.00112625
10,656.249,1.41981,0.94002,1.3181,0.76082,0.7109,0.74953,0.35009,1.64377,0.93674,1.28663,0.00111078,0.00111078,0.00111078
11,719.202,1.41843,0.93773,1.31719,0.84808,0.6784,0.7792,0.38615,1.46795,1.03352,1.23769,0.00109531,0.00109531,0.00109531
12,781.678,1.3868,0.90639,1.30119,0.81239,0.74528,0.80175,0.32594,1.91158,0.93875,1.38308,0.00107984,0.00107984,0.00107984
13,843.945,1.37969,0.90007,1.30776,0.82304,0.7535,0.79704,0.32819,1.90111,0.99926,1.35556,0.00106437,0.00106437,0.00106437
14,906.855,1.38054,0.88626,1.2985,0.83566,0.67896,0.75552,0.2998,1.86934,1.01847,1.32376,0.00104891,0.00104891,0.00104891
15,969.724,1.35947,0.88166,1.2875,0.84124,0.73442,0.82443,0.36603,1.76652,1.00756,1.32768,0.00103344,0.00103344,0.00103344
16,1032.14,1.35058,0.8501,1.27416,0.8272,0.74986,0.81851,0.36453,1.75686,0.89632,1.31125,0.00101797,0.00101797,0.00101797
17,1094.59,1.32566,0.82904,1.26907,0.8278,0.76324,0.83238,0.37959,1.64311,0.93753,1.28986,0.0010025,0.0010025,0.0010025
18,1157.18,1.3299,0.83718,1.28521,0.87985,0.74829,0.84052,0.35123,1.79379,0.93663,1.31295,0.000987031,0.000987031,0.000987031
19,1220.16,1.31722,0.82473,1.27247,0.8497,0.77223,0.85365,0.42997,1.5393,0.84664,1.24356,0.000971562,0.000971562,0.000971562
20,1284.81,1.31323,0.8059,1.26307,0.87256,0.7646,0.83506,0.38307,1.69359,0.85011,1.325,0.000956094,0.000956094,0.000956094
21,1346.66,1.31583,0.81309,1.27184,0.84725,0.76584,0.85349,0.3824,1.75572,0.84024,1.3051,0.000940625,0.000940625,0.000940625
22,1409.06,1.28925,0.79752,1.25221,0.88477,0.75487,0.84352,0.44855,1.36791,0.84591,1.18335,0.000925156,0.000925156,0.000925156
23,1472.79,1.31245,0.79998,1.26546,0.88336,0.74027,0.85868,0.4083,1.54676,0.81726,1.25408,0.000909688,0.000909688,0.000909688
24,1535.8,1.27736,0.77,1.23883,0.88828,0.79416,0.87966,0.41797,1.65463,0.77604,1.26041,0.000894219,0.000894219,0.000894219
25,1598.22,1.25405,0.757,1.22065,0.90073,0.71456,0.84317,0.45058,1.39537,0.77857,1.16991,0.00087875,0.00087875,0.00087875
26,1666.85,1.24994,0.74686,1.23155,0.83651,0.82348,0.88131,0.46339,1.39927,0.73021,1.18774,0.000863281,0.000863281,0.000863281
27,1736.42,1.27773,0.7442,1.24104,0.88438,0.79513,0.86597,0.46312,1.39483,0.75689,1.18664,0.000847813,0.000847813,0.000847813
28,1799.78,1.24616,0.75168,1.23449,0.85162,0.84932,0.88844,0.43519,1.56824,0.77488,1.23216,0.000832344,0.000832344,0.000832344
29,1861.56,1.23996,0.73918,1.22221,0.88382,0.7819,0.86637,0.4519,1.46556,0.79021,1.18247,0.000816875,0.000816875,0.000816875
30,1923.84,1.22926,0.73297,1.21462,0.87706,0.79381,0.87606,0.46329,1.46376,0.72662,1.19359,0.000801406,0.000801406,0.000801406
31,1986,1.2481,0.73304,1.21256,0.88052,0.8039,0.88138,0.4386,1.56838,0.74576,1.24017,0.000785938,0.000785938,0.000785938
32,2049.27,1.23689,0.7259,1.22132,0.88882,0.82857,0.89757,0.46834,1.45609,0.70476,1.18539,0.000770469,0.000770469,0.000770469
