epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2854,1.70908,1.52598,1.55061,0.3132,0.30968,0.24879,0.09339,1.99064,10.4964,1.61368,0.000411706,0.000411706,0.000411706
2,73.9012,1.63933,1.2871,1.53013,0.11189,0.15191,0.09517,0.03961,nan,nan,nan,0.000818122,0.000818122,0.000818122
3,109.191,1.64941,1.31549,1.54947,0.30051,0.4441,0.27116,0.09161,2.01755,6.89945,1.64277,0.00121422,0.00121422,0.00121422
4,143.996,1.6002,1.1936,1.53772,0.49906,0.40485,0.39355,0.11901,nan,nan,nan,0.00120359,0.00120359,0.00120359
5,179.297,1.57425,1.16925,1.49179,0.53422,0.4069,0.38434,0.14049,2.16352,1.39817,1.73597,0.00118812,0.00118812,0.00118812
6,214.501,1.52901,1.09139,1.48699,0.66753,0.6015,0.62273,0.22848,2.04788,1.18281,1.60515,0.00117266,0.00117266,0.00117266
7,249.947,1.55144,1.08203,1.49227,0.72619,0.51963,0.59981,0.24987,1.78662,1.16934,1.52884,0.00115719,0.00115719,0.00115719
8,285.222,1.48571,1.05508,1.46087,0.68486,0.63304,0.64483,0.21468,2.10555,1.10633,1.66124,0.00114172,0.00114172,0.00114172
9,320.165,1.44988,0.97697,1.44515,0.76362,0.61882,0.68731,0.25414,1.9652,1.08413,1.68037,0.00112625,0.00112625,0.00112625
10,355.46,1.43385,0.97156,1.41577,0.70905,0.68474,0.74509,0.33451,1.70604,1.00279,1.44307,0.00111078,0.00111078,0.00111078
11,390.623,1.44081,0.93723,1.41824,0.81967,0.68924,0.76411,0.33637,1.71378,0.92448,1.4902,0.00109531,0.00109531,0.00109531
12,425.46,1.42304,0.93031,1.41395,0.69915,0.60371,0.56956,0.14211,2.76496,1.1295,1.97772,0.00107984,0.00107984,0.00107984
13,460.263,1.38099,0.89228,1.39736,0.69892,0.6786,0.68374,0.229,2.23889,1.06768,1.84451,0.00106437,0.00106437,0.00106437
14,495.269,1.40591,0.90321,1.40731,0.76853,0.67745,0.74587,0.34213,1.68201,0.90836,1.37417,0.00104891,0.00104891,0.00104891
15,529.999,1.36766,0.87746,1.40261,0.84124,0.75932,0.82475,0.33738,1.85773,0.87217,1.4886,0.00103344,0.00103344,0.00103344
16,564.991,1.37796,0.85001,1.39219,0.745,0.63919,0.66847,0.21758,2.18324,1.04534,1.75085,0.00101797,0.00101797,0.00101797
17,598.926,1.37389,0.8436,1.38969,0.85367,0.74548,0.82698,0.34503,1.77884,0.8671,1.41336,0.0010025,0.0010025,0.0010025
18,632.874,1.35943,0.84855,1.38949,0.86055,0.76715,0.83769,0.35858,1.84063,0.89919,1.54937,0.000987031,0.000987031,0.000987031
19,666.457,1.34434,0.79958,1.37284,0.81101,0.74634,0.8132,0.38051,1.64383,0.84527,1.41487,0.000971562,0.000971562,0.000971562
20,700.383,1.34224,0.822,1.38239,0.84329,0.77146,0.83702,0.33664,1.93149,0.87698,1.46578,0.000956094,0.000956094,0.000956094
21,733.777,1.33126,0.79854,1.3686,0.85269,0.78151,0.83845,0.31125,2.05256,0.83471,1.54855,0.000940625,0.000940625,0.000940625
22,767.145,1.32605,0.79693,1.36969,0.84498,0.7148,0.75594,0.25439,2.19469,0.90663,1.64671,0.000925156,0.000925156,0.000925156
23,800.889,1.31959,0.78639,1.36125,0.87748,0.76336,0.82957,0.34307,1.91822,0.82854,1.53763,0.000909688,0.000909688,0.000909688
24,834.155,1.3006,0.77609,1.3498,0.8702,0.76222,0.84277,0.33688,1.91916,0.8646,1.46123,0.000894219,0.000894219,0.000894219
25,868.209,1.28504,0.76082,1.33717,0.81622,0.77046,0.78292,0.24237,2.43091,0.94856,1.7748,0.00087875,0.00087875,0.00087875
26,902.357,1.30919,0.76443,1.3602,0.89939,0.75933,0.85032,0.4056,1.65935,0.73944,1.34204,0.000863281,0.000863281,0.000863281
27,935.741,1.26148,0.72509,1.3216,0.76401,0.71587,0.72327,0.22873,2.45383,1.00495,1.819,0.000847813,0.000847813,0.000847813
28,969.297,1.29118,0.74385,1.33696,0.82697,0.78389,0.81064,0.28687,2.15996,0.91479,1.68832,0.000832344,0.000832344,0.000832344
29,1002.99,1.26232,0.72038,1.3148,0.84137,0.82122,0.87336,0.45837,1.48841,0.70928,1.32337,0.000816875,0.000816875,0.000816875
30,1036.88,1.24452,0.70852,1.31484,0.84494,0.77393,0.79997,0.24413,2.46062,0.89937,1.82855,0.000801406,0.000801406,0.000801406
31,1070.72,1.26246,0.72447,1.31586,0.85568,0.80592,0.87038,0.41044,1.65347,0.71233,1.34512,0.000785938,0.000785938,0.000785938
32,1104.42,1.23471,0.69991,1.31248,0.87373,0.81851,0.87326,0.37349,1.83591,0.76401,1.45777,0.000770469,0.000770469,0.000770469
33,1138.37,1.24848,0.68335,1.30809,0.89189,0.82743,0.89565,0.41356,1.6399,0.69471,1.31447,0.000755,0.000755,0.000755
34,1172.54,1.21786,0.68418,1.29715,0.92448,0.80684,0.88676,0.36189,1.95863,0.75177,1.49908,0.000739531,0.000739531,0.000739531
35,1206.77,1.2182,0.68037,1.29219,0.88723,0.83783,0.89388,0.43481,1.60561,0.67084,1.40298,0.000724062,0.000724062,0.000724062
36,1240.96,1.23004,0.69405,1.30735,0.89265,0.79709,0.85391,0.34555,2.00054,0.79318,1.54198,0.000708594,0.000708594,0.000708594
37,1274.3,1.2055,0.6659,1.28538,0.85224,0.81216,0.81992,0.30282,2.09256,0.7849,1.61875,0.000693125,0.000693125,0.000693125
38,1308.33,1.20167,0.65985,1.28463,0.8746,0.82198,0.88136,0.45694,1.51043,0.64708,1.29351,0.000677656,0.000677656,0.000677656
39,1342.16,1.20523,0.66446,1.28887,0.91965,0.83343,0.90303,0.40926,1.7547,0.69842,1.42612,0.000662188,0.000662188,0.000662188
40,1376.66,1.21132,0.67368,1.30797,0.86937,0.83447,0.87578,0.44374,1.49367,0.6492,1.31248,0.000646719,0.000646719,0.000646719
41,1411.67,1.18429,0.64364,1.27629,0.89938,0.83151,0.89838,0.40624,1.75083,0.69505,1.39442,0.00063125,0.00063125,0.00063125
42,1446.54,1.20354,0.65053,1.29139,0.92698,0.81926,0.88942,0.42643,1.66654,0.69104,1.33196,0.000615781,0.000615781,0.000615781
43,1481.28,1.20217,0.65349,1.28758,0.94216,0.84334,0.91068,0.44065,1.6227,0.65989,1.32005,0.000600313,0.000600313,0.000600313
44,1515.38,1.17866,0.63897,1.2756,0.91614,0.83422,0.88888,0.45372,1.51234,0.63632,1.311,0.000584844,0.000584844,0.000584844
45,1549.8,1.1689,0.63831,1.26968,0.90426,0.84924,0.90675,0.46795,1.51551,0.63497,1.26895,0.000569375,0.000569375,0.000569375
46,1584.43,1.16204,0.62549,1.2618,0.91311,0.85587,0.91376,0.50115,1.39778,0.62321,1.22708,0.000553906,0.000553906,0.000553906
47,1618.9,1.15645,0.61781,1.25331,0.87998,0.838,0.89134,0.41041,1.74688,0.6799,1.37015,0.000538438,0.000538438,0.000538438
48,1653.56,1.14986,0.61756,1.25908,0.92205,0.85061,0.92467,0.50369,1.38438,0.59804,1.28281,0.000522969,0.000522969,0.000522969
