epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7032,1.7023,1.62998,1.45215,0.57844,0.59158,0.55892,0.2379,1.70543,1.20453,1.27762,0.000411706,0.000411706,0.000411706
2,108.35,1.50847,1.15237,1.36026,0.67321,0.64946,0.65164,0.271,1.73918,1.24124,1.39512,0.000818122,0.000818122,0.000818122
3,160.697,1.55034,1.14287,1.39626,0.63686,0.60615,0.62036,0.24259,1.89654,1.41925,1.47585,0.00121422,0.00121422,0.00121422
4,210.821,1.494,1.11852,1.37644,0.68471,0.59261,0.63054,0.26801,1.76454,1.20691,1.37863,0.00120359,0.00120359,0.00120359
5,267.579,1.50349,1.04376,1.3943,0.62593,0.36427,0.39651,0.18728,1.82034,2.76481,1.47708,0.00118812,0.00118812,0.00118812
6,320.155,1.45314,0.99114,1.36684,0.81254,0.63997,0.71267,0.30113,1.73297,1.07367,1.38597,0.00117266,0.00117266,0.00117266
7,371.728,1.45356,0.97283,1.36091,0.77909,0.67545,0.75535,0.36097,1.56678,0.97411,1.41438,0.00115719,0.00115719,0.00115719
8,434.532,1.42445,0.94434,1.35107,0.72539,0.74601,0.77922,0.30857,1.82955,0.94477,1.43874,0.00114172,0.00114172,0.00114172
9,491.302,1.40877,0.9255,1.33712,0.84206,0.72172,0.79655,0.35874,1.70132,0.83703,1.33657,0.00112625,0.00112625,0.00112625
10,542.268,1.3802,0.89177,1.31816,0.78611,0.75886,0.80591,0.37587,1.60369,0.84489,1.31512,0.00111078,0.00111078,0.00111078
11,598.869,1.39098,0.88774,1.3247,0.84059,0.76906,0.83855,0.41518,1.47041,0.79661,1.23893,0.00109531,0.00109531,0.00109531
12,657.814,1.35449,0.8543,1.30385,0.8219,0.72389,0.78101,0.35451,1.68474,0.87819,1.32101,0.00107984,0.00107984,0.00107984
13,714.591,1.34311,0.83853,1.30408,0.86128,0.75619,0.81888,0.33113,1.94133,0.88643,1.42506,0.00106437,0.00106437,0.00106437
14,766.814,1.33739,0.81604,1.29006,0.7475,0.80849,0.82864,0.38322,1.59565,0.84913,1.30461,0.00104891,0.00104891,0.00104891
15,821.618,1.33676,0.82233,1.29669,0.83724,0.76947,0.83941,0.3491,1.83325,0.94517,1.39387,0.00103344,0.00103344,0.00103344
16,878.383,1.33414,0.7932,1.27617,0.85502,0.80475,0.85853,0.38853,1.64415,0.76725,1.30136,0.00101797,0.00101797,0.00101797
17,932.994,1.30047,0.78363,1.27045,0.82168,0.78341,0.8116,0.31241,1.90648,0.85676,1.38599,0.0010025,0.0010025,0.0010025
18,984.388,1.28367,0.77345,1.27829,0.85633,0.79541,0.83728,0.32742,1.98194,0.85817,1.4179,0.000987031,0.000987031,0.000987031
19,1034.86,1.27702,0.76015,1.26144,0.86259,0.79195,0.85578,0.45423,1.45488,0.74592,1.2102,0.000971562,0.000971562,0.000971562
20,1095.27,1.26938,0.74805,1.25238,0.89313,0.79007,0.88282,0.4387,1.5719,0.74416,1.31355,0.000956094,0.000956094,0.000956094
21,1147.74,1.27956,0.76127,1.26219,0.87806,0.82203,0.87931,0.40627,1.64881,0.73231,1.2958,0.000940625,0.000940625,0.000940625
22,1198.05,1.25891,0.74701,1.248,0.87514,0.79678,0.88195,0.48005,1.346,0.72171,1.18527,0.000925156,0.000925156,0.000925156
23,1249.6,1.25303,0.73929,1.25092,0.89071,0.82675,0.89625,0.46109,1.43829,0.69652,1.22181,0.000909688,0.000909688,0.000909688
24,1300.49,1.25492,0.7223,1.23962,0.90797,0.82732,0.90205,0.46661,1.49649,0.71024,1.22368,0.000894219,0.000894219,0.000894219
25,1357.59,1.23534,0.70412,1.22813,0.89775,0.80795,0.8889,0.39837,1.78823,0.73744,1.33289,0.00087875,0.00087875,0.00087875
26,1407.99,1.22126,0.69629,1.23015,0.89859,0.82717,0.90248,0.48678,1.34995,0.67219,1.2087,0.000863281,0.000863281,0.000863281
27,1460.15,1.24365,0.69918,1.2386,0.86269,0.83611,0.90262,0.45604,1.49956,0.69283,1.22594,0.000847813,0.000847813,0.000847813
28,1517.63,1.21663,0.69952,1.23409,0.89528,0.85224,0.90571,0.47427,1.45133,0.69046,1.20183,0.000832344,0.000832344,0.000832344
29,1574.46,1.20766,0.69264,1.2226,0.91064,0.80235,0.879,0.44187,1.54307,0.71275,1.26129,0.000816875,0.000816875,0.000816875
30,1629.25,1.19651,0.68222,1.21387,0.91064,0.84067,0.9015,0.42785,1.66543,0.69178,1.31334,0.000801406,0.000801406,0.000801406
31,1680.99,1.22467,0.69085,1.21945,0.91525,0.8261,0.90607,0.4612,1.48273,0.67022,1.21002,0.000785938,0.000785938,0.000785938
32,1736.37,1.2,0.66944,1.22249,0.88656,0.86342,0.91926,0.48352,1.44252,0.66294,1.20607,0.000770469,0.000770469,0.000770469
33,1787,1.18149,0.66619,1.21048,0.90627,0.84175,0.90291,0.39663,1.76269,0.70243,1.33505,0.000755,0.000755,0.000755
34,1838.28,1.17234,0.65176,1.21826,0.90875,0.84845,0.90716,0.46983,1.53559,0.63814,1.24773,0.000739531,0.000739531,0.000739531
35,1889.45,1.18924,0.65459,1.20651,0.9087,0.85317,0.9174,0.48888,1.44984,0.64686,1.21007,0.000724062,0.000724062,0.000724062
36,1945.29,1.16808,0.64716,1.20976,0.88372,0.8472,0.9092,0.46149,1.4997,0.63741,1.22786,0.000708594,0.000708594,0.000708594
37,1996.33,1.17172,0.64448,1.19883,0.90765,0.85662,0.91458,0.43443,1.62405,0.66299,1.27232,0.000693125,0.000693125,0.000693125
38,2052.03,1.17479,0.63273,1.19567,0.91761,0.84559,0.91896,0.4571,1.59562,0.66836,1.24627,0.000677656,0.000677656,0.000677656
39,2109.32,1.15716,0.62436,1.1984,0.91584,0.85797,0.92158,0.49015,1.49428,0.62147,1.22039,0.000662188,0.000662188,0.000662188
40,2160.35,1.14531,0.60894,1.1868,0.87682,0.8695,0.91112,0.51177,1.35568,0.63108,1.1661,0.000646719,0.000646719,0.000646719
41,2216.08,1.15418,0.62297,1.18991,0.90469,0.88681,0.91769,0.43662,1.64686,0.64976,1.25834,0.00063125,0.00063125,0.00063125
42,2266.37,1.14162,0.61797,1.18592,0.89913,0.86846,0.91649,0.49062,1.45738,0.61885,1.22488,0.000615781,0.000615781,0.000615781
43,2321.37,1.13346,0.60626,1.18453,0.9286,0.8698,0.91945,0.49444,1.42055,0.60176,1.21226,0.000600313,0.000600313,0.000600313
44,2372.43,1.14164,0.60889,1.19245,0.92192,0.8701,0.93645,0.53205,1.32959,0.60509,1.16211,0.000584844,0.000584844,0.000584844
45,2427.21,1.14529,0.60172,1.17462,0.94628,0.85276,0.92639,0.46105,1.58051,0.61967,1.23952,0.000569375,0.000569375,0.000569375
46,2478.5,1.12442,0.60131,1.17731,0.92452,0.8901,0.93691,0.51176,1.40213,0.58638,1.18198,0.000553906,0.000553906,0.000553906
